Tweet,sentimen
0,1
"Rampas Motor di Bantul , Dua Bonek Ditangkap di Solo",0
"JawaPos . com - Dua orang Bonek ( suporter Persebaya ) berinisial IAW , 16 , dan DS , 18 , ditangkap jajaran Polresta Solo di Jalan Ki Mangun Sarkoro , Banjarsari , Solo , Minggu ( 3 / 6 ) malam . Kedua Bonek yang masih di bawah umur itu ditangkap lantaran telah merampas sepeda motor Honda Vario di sebelah utara Stadion Sultan Agung , Bantul , Jogja .",0
"Kasus perampasan ini kemudian diinformasikan melalui pesan berantai . Dan saat keduanya melintasi jalan Ki Mangun Sarkoro , Banjarsari , Solo , sejumlah personel yang tengah melakukan pengamanan pemulangan rombongan Bonek melihat adanya kecurigaan .",0
"Setelah dilakukan pengecekan , diketahui bahwa sepeda motor yang dibawa oleh kedua pelaku merupakan hasil kejahatan yang dilakukan di kawasan Bulak Bantul .",1
""" Mereka tidak mengaku merampas , tapi mereka sudah menguasai hasil rampasan , "" ungkapnya kepada JawaPos . com , Minggu ( 3 / 6 ) .",0
"Selanjutnya keduanya diamankan di Polresta Solo untuk dilakukan pemeriksaan . Untuk penanganan selanjutnya , kedua tersangka diserahkan ke Polres Bantul . Mengingat lokasi kejadian ada di Bantul . "" Dan kasus ini sudah dilaporkan ke Polsek Sewon , Bantul , "" tandasnya .",1
""" Karena organisasi masyarakat Islam terbesar itu NU dan Muhammadiyah , "" katanya .",1
"Baidowi juga mengaku tidak khawatir terhadap koalisi tersebut . Karena apapun koalisinya yang menentukan rakyat itu sendiri . Maka dari itu , tokoh yang bisa meraih simpati rakyatlah yang bakal menjadi pemimpin Indonesia .",1
BNPT Mengaku Tak Bisa Terus Pantau WNI yang Gagal Masuk Suriah,0
"JAKARTA , KOMPAS . com - Kepala Badan Nasional Penanggulangan Terorisme ( BNPT ) Suhardi Alius mengaku tidak bisa memantau warga negara Indonesia yang dideportasi oleh pemerintah Turki lantaran tidak bisa menyeberang ke Suriah . "" Memang tidak bisa seterus - terusnya ( dipantau ) . Bentangannya kan besar sekali ya , "" ujar Suhardi di Kompleks Istana Presiden , Jakarta , Selasa ( 22 / 5 / 2018 ) . BNPT hanya bisa memantau mereka ketika tiba di Indonesia .",0
