sentimen,Tweet
-1,lagu bosan apa yang aku save ni huhuhuhuhuhuhuhuhuhuuuuuuuuuuuuuu
-1,kita lanjut saja diam ini hingga kau dan aku erti tidak semua sama harus libat hati
1,doa rezeki tak putus inna haa zaa larizquna maa lahu min na fadesungguhnya ini ialah beri kami kepada kamu p
1,makasih loh ntar kita bagi hasil aku 99 9 sisa buat kamu
-1,aku tak faham betul jenis orang malaysia yang tak ret nak sangkut balik hose tu aku geli bodoh nak pegang
0,barusan liat tulis di belakang truk rela injek kopling demi kamu bisa shopping
-1,cerita dia macam ni mamat ni hari2 aku nampak keluar masuk cimb ceria ja tapi hari ni aku tengok muka dia masam aku p
1,ya aku akan jadi satu satu bukan nomor satu tetapi satu satu
-1,aku aja capek sama diri sendiri apalagi kamu maaf ya
-1,aku cuba nak amal sikap pergi mampus tapi sayang aku gagal sebab aku jenis mudah kesi dan mudah maaf
0,her itu lho miss kevin sama keven rebut gimbot ya wis aku beli 2 ae sambil nunjuk the twins yg asik main ipad masin
0,iya rep gatau aku masih kelas 4 sd ehh di block
0,aku mohon tepat janji penantiancintaeps19
0,bukan ria nk kahwin sbb gatal celah kangkang tp penat bila balik kg org anggap aku ni bujang takde kerja and ser
0,aku ingat habanero paling pedas rupa ada 10 kali ganda yg lagi pedas gila
0,aku tengok drama cinta bukan kristalatu conversation anak dengan bapak bapak iyeee sekarang semua perempuan n
1,i dont know why but these zikir sangat bantu aku pon dapat hasil dari orang retweetambil usaha sambil doa insha alla
-1,commitmentetakat hulu hilir together tapi tak put effort nak kahwin baik tinggal je bazir masa
1,aah kamu aja mas aku lebih suka ayom
0,yg aku butuh interaksi dari 95l 99l yuk yg line segitu kuy mutualan nanti ku follow tapi auto followback ok rt aja
0,kau dah tak streak dengan aku pun
0,yg lama ini nunggun video dari aku nih retweet yg mau full
1,mau bantu aku nabung
-1,kamu jahat dubu lt
0,tak kisah pun bf ade kawan perempuan sebab aku pun ade kawan laki tapi kalau over nak ngadu nak cite itu ini send ga
0,high
0,nanti malam ada undang opening di hungerbelt spazio teman aku laaaahhh siiisssss
-1,aku nak tanya lah apa asa korang bila simpan duit dalam tabung kemudian anai2 makan duit tu
1,tak peduli seperti apa hidup kamu selalu punya pilih untuk lihat dari sisi baik atau sisi buruk
1,aku dah tahu macam mana nak bagi pengantin gelak natural hahahahahahahahahahaha
0,aku tambah lagi ia
1,cara nak mintak maaf ada 3 1 aku minta maaf 2 aku aku salah aku 3 apa yang boleh aku buat untuk betul ba
0,benar ramai sifu2 property approach aku utk join kelas investment etcemua cerita beli rumah murah dan sewa
-1,kalo gebetan kamu ngga pernah buang ludah di jalan pacarin
-1,jangan dekat dengan aku aku tengah susah nanti aku senang aku panggil
1,yuk netweetjen bantu
1,ya allah ya tuhan kau lindung dua ibu bapa saat aku jauh dengan mereka
0,lecturer aku suruh tampal note kat tempat yang aku selalu tengok tak aku nak tampal kat muka crush pulak
0,20thn aku ken nikah umur 23 sm orang yang gin gin gin 23thn blm ada yg nglamar 24thn si
0,dengar bual budak sekolah aku nk amik a level aku nk amik asasi asasi lagi ok dari matrik kan aa
0,cara outin diri sendiri gimana sih yang bisa outin aku aku bayar deh g
1,giveaway karena hari ini umur aku tambah jadi aku ingin bagi rules aja dan ucap saya wish dan screenshoo
